title:Meditation, start timestamp:1583521498.648371, stop timestamp:1583521564.628264, headset type:INSIGHT, headset serial:A1D2068CFA, headset firmware:930, subject name:Corey, channels:31, sampling rate:eeg_128;mot_64, samples:8464      , version:2.0
Timestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.T7,EEG.Pz,EEG.T8,EEG.AF4,EEG.RawCq,EEG.Battery,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.T7,CQ.Pz,CQ.T8,CQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1583521502.226606,38.000000,0.000000,4353.333496,4301.538574,4184.102539,4054.871826,4116.922852,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,2.000000,4.000000,19.000000,0.000000,0.654574,0.140625,0.687500,0.281250,0.843763,-0.531258,-0.031250,-76.563667,-76.563667,38.281834
1583521502.234502,39.000000,0.000000,4343.077148,4299.487305,4168.717773,4052.307617,4098.461426,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,2.000000,4.000000,,,,,,,,,,,,
1583521502.242199,40.000000,0.000000,4329.230957,4283.077148,4141.538574,4034.358887,4076.923096,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,2.000000,4.000000,20.000000,0.000000,0.654574,0.140625,0.687500,0.281250,0.843763,-0.531258,-0.031250,-76.563667,-76.563667,38.281834
1583521502.250095,41.000000,0.000000,4329.743652,4287.179688,4140.000000,4031.281982,4070.256348,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,2.000000,4.000000,,,,,,,,,,,,
1583521502.257793,42.000000,0.000000,4335.384766,4299.487305,4147.179688,4044.615479,4076.923096,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,2.000000,4.000000,21.000000,0.000000,0.654574,0.140625,0.687500,0.281250,0.843763,-0.531258,-0.031250,-76.563667,-76.563667,38.281834
1583521502.265690,43.000000,0.000000,4351.282227,4305.641113,4154.871582,4057.948730,4093.333252,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,2.000000,4.000000,,,,,,,,,,,,
1583521502.273587,44.000000,0.000000,4351.282227,4299.487305,4154.871582,4044.615479,4087.179443,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,2.000000,4.000000,22.000000,0.000000,0.654574,0.140625,0.687500,0.281250,0.843763,-0.531258,-0.031250,-76.563667,-76.563667,38.281834
1583521502.281483,45.000000,0.000000,4326.666504,4291.282227,4150.769043,4039.487061,4065.641113,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,2.000000,4.000000,,,,,,,,,,,,
1583521502.289180,46.000000,0.000000,4310.256348,4299.487305,4151.794922,4038.461426,4057.948730,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,2.000000,4.000000,23.000000,0.000000,0.654574,0.140625,0.687500,0.281250,0.843763,-0.531258,-0.031250,-76.563667,-76.563667,38.281834
1583521502.297076,47.000000,0.000000,4317.948730,4307.692383,4172.307617,4049.230713,4066.153809,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,2.000000,4.000000,,,,,,,,,,,,
